PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,DaysSinceLastLogin,FriendsCount,HistoricalActivityLevel
9000,43,Male,Other,Strategy,16.271118760553215,0,Medium,6,108,79,25,Medium,7,19,0.273595597994569
9001,29,Female,USA,Strategy,5.525961380570566,0,Medium,5,144,11,10,Medium,20,12,0.4039506185323142
9002,22,Female,USA,Sports,8.223755243499511,0,Easy,16,142,35,41,High,29,11,0.19439930629673452
9003,35,Male,USA,Action,5.265351277318268,1,Easy,9,85,57,47,Medium,15,14,0.3296203219837325
9004,33,Male,Europe,Action,15.53194452113429,0,Medium,2,131,95,37,Medium,11,14,0.5711391796861061
9005,37,Male,Europe,RPG,20.561855414112557,0,Easy,2,81,74,22,Low,8,14,0.24378045973730955
9006,25,Male,USA,Action,9.752716365932256,0,Hard,1,50,13,2,Low,29,8,0.2870942820563117
9007,25,Female,Asia,RPG,4.401729344841462,0,Medium,10,48,27,23,Medium,21,17,0.8960704884334243
9008,38,Female,Europe,Simulation,18.15273259575482,0,Easy,5,101,23,41,Medium,7,15,0.47175518399091887
9009,38,Female,Other,Sports,23.942771725289525,0,Easy,13,95,99,36,High,26,12,0.7083712692029948
9010,17,Male,USA,Strategy,4.829915833543258,0,Hard,8,95,14,12,High,19,13,0.2694560831032894
9011,36,Female,Asia,Simulation,5.53598092541321,1,Easy,16,124,62,31,High,23,10,0.595920958091037
9012,16,Male,USA,Sports,18.776233805679176,1,Easy,9,18,52,32,High,11,11,0.6834242334467264
9013,38,Female,USA,Strategy,8.701959180591404,0,Easy,0,156,33,47,Low,11,12,0.30334998709685135
9014,44,Male,USA,Simulation,17.975200475946355,0,Easy,8,41,98,1,Low,24,9,0.4376076089063028
9015,16,Male,Europe,RPG,7.951511339057053,0,Medium,10,156,58,24,High,21,14,0.842763768850813
9016,35,Male,Asia,Strategy,17.88789845694821,0,Easy,16,154,62,4,High,4,18,0.7038316311603282
9017,47,Male,USA,RPG,17.272112901806345,0,Medium,2,131,13,9,Low,8,10,0.8940093711024069
9018,26,Female,Asia,Action,19.416078735805648,0,Easy,3,135,77,25,Medium,24,8,0.18508203007244473
9019,36,Female,Asia,RPG,19.3388255215677,0,Easy,4,56,21,30,Low,3,17,0.6731263498959899
9020,39,Female,USA,Sports,1.7225809816138815,0,Easy,2,177,34,37,Medium,22,11,0.015417618141336686
